lat_long
"(47.7312475, -122.20489718994025)"
"(47.699877102040816, -122.175598)"
"(47.4454735, -122.13141241628418)"
"(47.726257450000006, -122.3311172090715)"
"(47.621151636363635, -122.20084033333335)"
"(47.6398707, -122.295196)"
"(47.38588145, -122.03494651227561)"
"(47.572988550000005, -122.41310026774181)"
"(47.5658157, -122.364084625)"
"(47.5570865, -122.3785598528184)"
"(47.3227319, -122.38421571897018)"
"(47.58137625, -122.391565125374)"
"(47.56371291872863, -122.14830650801909)"
"(47.6971023, -122.3470238)"
"(47.66057285714286, -122.20491042857142)"
"(47.5967921, -121.9731274)"
"(47.6240706, -122.3133681)"
"(47.6992256, -122.1348611)"
"(47.54454475, -122.35690535016892)"
"(47.3929127, -122.3076129994094)"
"(47.664827349999996, -122.3598857249041)"
"(47.581571570156015, -122.0735279748652)"
"(47.32544755, -122.27180632848462)"
"(47.50307935, -122.26282752058458)"
"(47.75213112244898, -122.30885595918367)"
"(47.3106182, -122.32529918322098)"
"(47.575732, -122.205689)"
"(47.501847551020404, -122.4667493877551)"
"(47.320093850000006, -122.21487356779411)"
"(47.320093850000006, -122.21487356779411)"
"(47.469435000000004, -121.98749986346155)"
"(47.48693715, -122.2906301874424)"
"(47.765379448979594, -122.201687)"
"(47.67857735, -122.03277652685969)"
"(47.58675793877551, -122.30019018367346)"
"(47.6819002, -122.27087127675324)"
"(47.47840545, -122.3267062990302)"
"(47.3322303, -122.2551689)"
"(47.6818557, -122.2880908)"
"(47.359455967705294, -122.05447919354107)"
"(47.762393536036036, -122.36646510810812)"
"(47.6760268, -122.29380580485125)"
"(47.52482045, -122.15204078210766)"
"(47.48455413924051, -121.78472701265822)"
"(47.6756104, -122.389722444623)"
"(47.452245399999995, -122.3784501)"
"(47.61125775, -122.31195640000001)"
"(47.288889, -122.06747756337174)"
"(47.675005, -121.874141)"
"(47.6787032, -122.29916319675763)"
"(47.480775300000005, -122.2811791)"
"(47.232452, -122.07338024462365)"
"(47.67955139465775, -122.15699832060943)"
"(47.62872755, -122.34907669133352)"
"(47.62872755, -122.34907669133352)"
"(47.776655, -122.392492)"
"(47.611040450000004, -122.2907323044175)"
"(47.675004799999996, -122.36150679353926)"
"(47.37623645, -122.22208714951734)"
"(47.602088375, -122.312998875)"
"(47.6936948, -122.3618651584076)"
"(47.7240621, -122.28793923227234)"
"(47.68901700000001, -122.20714796047447)"
"(47.6782265, -122.2086686497975)"
"(47.6574645, -122.361039)"
"(47.33964025, -122.28431705)"
"(47.54227855, -122.36156495610211)"
"(47.7397168, -122.1848467)"
"(47.772881363636365, -122.36406866666667)"
"(47.6827738, -122.31075190573367)"
"(47.67647385, -122.30691064783142)"
"(47.53425785, -122.26736680047432)"
"(47.7148055, -122.30887379245836)"
"(47.6237782336943, -122.20957888688399)"
"(47.54940175, -122.39435167819136)"
"(47.56154075510204, -122.10926926530612)"
"(47.70002025, -122.35845803152154)"
"(47.70002025, -122.35845803152154)"
"(47.53800315, -122.3522139751517)"
"(47.549675500000006, -122.2994490894458)"
"(47.3728435, -122.1568429)"
"(47.508574100000004, -122.11300447213458)"
"(47.3134784, -122.3390553)"
"(47.569565018037494, -122.00246102720718)"
"(47.53835114788028, -121.85977997469608)"
"(47.76041932224938, -122.1377385862477)"
"(47.71370745, -122.21768887458913)"
"(47.70102785, -122.2310829484642)"
"(47.25909475, -122.19346485)"
"(47.58586545, -122.30216732558777)"
"(47.53389815, -122.37713479730758)"
"(47.72392585, -122.28948898694378)"
"(47.60077541475416, -122.13847810389267)"
"(47.4032782, -122.32927335140255)"
"(47.1948005, -121.9707028)"
"(47.68811325, -122.19611556663187)"
"(47.7375007, -122.19666553644208)"
"(47.67208545, -122.31477029999999)"
"(47.69348825, -122.09971311292549)"
"(47.27407315, -122.34758415)"
"(47.69026100000001, -122.0960966883547)"
"(47.61508465, -122.29112931595131)"
"(47.522679, -121.8199165)"
"(47.63837953866068, -122.21650646738634)"
"(47.63837953866068, -122.21650646738634)"
"(47.68368115, -122.33317504881225)"
"(47.610286099999996, -122.3017271947526)"
"(47.50862395, -122.23707512341804)"
"(47.65384185, -122.20145965319696)"
"(47.5650955, -122.26980144277086)"
"(47.2405278, -122.041014)"
"(47.2405278, -122.041014)"
"(47.2405278, -122.041014)"
"(47.5495159, -122.0458749)"
"(47.49899489456753, -122.15248661759776)"
"(47.63376715151515, -122.17161766666668)"
"(47.295046549999995, -122.19031997990649)"
"(47.5163088, -122.3492851)"
"(47.6515904, -122.3464682)"
"(47.6079276, -122.1365681)"
"(47.51134945, -122.3460025)"
"(47.37316295, -122.2963263207215)"
"(47.37316295, -122.2963263207215)"
"(47.709134999999996, -121.361543)"
"(47.6155868582467, -122.23880004905064)"
"(47.51926955, -122.37265902900485)"
"(47.490235150000004, -122.12578200869626)"
"(47.42426575, -122.17737312555238)"
"(47.649089000000004, -122.07763155)"
"(47.58746885, -122.3108287)"
"(47.76043395, -122.19653974802432)"
"(47.6070162, -122.0510533)"
"(47.69545497245694, -121.90850554807199)"
"(47.31183895, -122.3655478)"
"(47.545732, -122.259258)"
"(47.56821205, -122.40583347290044)"
"(47.7049235, -122.3532525)"
"(47.72677785, -122.2988650752072)"
"(47.6202750528149, -122.13973136467311)"
"(47.6202750528149, -122.13973136467311)"
"(47.4725381, -122.35432854999999)"
"(47.59128635529979, -122.23688041575396)"
"(47.684144, -122.376805)"
"(47.23913624842155, -122.07232128088879)"
"(47.23913624842155, -122.07232128088879)"
"(47.689895199999995, -122.39604620931593)"
"(47.76593233333333, -122.32076509090909)"
"(47.5663431, -122.1614783)"
"(47.4488445, -122.03572606872706)"
"(47.475884, -121.70616905050505)"
"(47.3827854, -122.02906195142859)"
"(47.3811854, -122.20462676177618)"
"(47.68322595, -122.30497667722497)"
"(47.62414615, -122.32478053116901)"
"(47.3758607, -122.23182219493475)"
"(47.468327968749996, -122.43836850000001)"
"(47.325362, -122.1644731)"
"(41.952832, -83.653351)"
"(47.73150095, -122.35669273016771)"
"(47.6639248, -122.275026)"
"(47.7476118, -122.2289383)"
"(47.2741508, -122.30181382735256)"
"(47.25006126611006, -122.10613672438954)"
"(47.69265955555556, -122.342518)"
"(47.4535645, -122.27021049999999)"
"(47.531469933354835, -121.85930628895699)"
"(47.338967249999996, -122.34369407605249)"
"(47.69801090909091, -122.34093221212122)"
"(47.6947458, -122.31567505521184)"
"(47.6969084, -122.3427795)"
"(47.672772, -122.3058074)"
"(47.3033078, -122.3095303)"
"(47.45224475, -122.33015985354992)"
"(47.5571434, -122.1655162)"
"(47.62970300278266, -122.06092793686504)"
"(47.7106635, -122.3308301)"
"(47.654804266666666, -122.32776708888889)"
"(47.62204601604943, -122.11330828134103)"
"(47.7564892379731, -122.14259037523941)"
"(47.50129125, -122.30713032142857)"
"(47.5405412, -122.32211519879553)"
"(47.70149645, -122.32108282386886)"
"(47.6193213, -122.3066001)"
"(47.37296075, -122.18967575673406)"
"(47.54645466808357, -122.13211461495192)"
"(47.3814303, -122.320231487624)"
"(47.65702314285714, -122.36119520408164)"
"(47.366810799999996, -122.03647761781906)"
"(47.5202351, -122.3567106)"
"(47.668277819125876, -122.36012369150887)"
"(47.750301, -122.2136957)"
"(47.554016, -122.096641)"
"(47.550833714285716, -121.99299014285714)"
"(47.76632997360261, -122.16429710909524)"
"(47.3641758, -122.28795468033313)"
"(47.20946, -122.0066075158943)"
"(47.43936323204502, -121.74878363497704)"
"(47.64270074545455, -122.32696769090909)"
"(47.366149, -122.111881)"
"(47.6713585, -122.32620839883961)"
"(47.3541886, -122.04001572002068)"
"(47.38200355, -122.0329046085443)"
"(47.27001, -121.94837999766355)"
"(47.3056905, -122.02543820556342)"
"(47.7034267, -122.3578497)"
"(47.55538165, -122.26781232592177)"
"(47.61914185714286, -122.30376091836735)"
"(47.75547739392994, -122.07080590304128)"
"(47.5443002, -122.385221)"
"(47.53586525, -122.36513504999999)"
"(47.5872099, -122.3858539)"
"(47.558025, -122.28038019596775)"
"(47.38233325, -122.03641877359402)"
"(47.61765357142857, -122.118071)"
"(47.5461149, -122.29771485)"
"(47.36035635, -122.03438536544313)"
"(47.7527537, -122.2153635)"
"(47.6233226, -122.1266541)"
"(47.69858875, -122.32548015391566)"
"(47.7111174, -122.3308755)"
"(47.71320565, -122.22671251337911)"
"(47.59848506, -122.01452596)"
"(47.4901173, -122.15073133951428)"
"(47.72043295, -122.36137786676446)"
"(47.72043295, -122.36137786676446)"
"(47.6558677, -122.34040329999999)"
"(47.6937027, -122.36206685)"
"(47.6360525, -122.1067726)"
"(47.6911294, -122.3421333)"
"(47.5743036, -122.2901926)"
"(47.7572912, -122.21631734792751)"
"(47.59262302984116, -121.98145360508191)"
"(47.4973855, -122.17466325000001)"
"(47.3096126, -122.20932765)"
"(47.563467249999995, -122.09170875)"
"(47.586115673469386, -122.31609912244897)"
"(47.5825368, -122.3873178)"
"(47.76490719607843, -122.27531178431373)"
"(47.7479365, -122.05144865)"
"(47.7479365, -122.05144865)"
"(47.362993, -122.0594414976415)"
"(47.5212914, -122.3559419)"
